,adres,longitude,latitude
235,"1) г. Троицк, ул. Тони Меньшениной, территория комплекса по реализации сельскохозяйственной продукции 2) г. Еманжелинск, ул. Пушкина, д. 1а 3) С 20.07.2017г. дополнительный объект: г. Коркино, ул. Керамиков, д. 34",1,1
236,"г. Челябинск, пос. Шершни, ул. Центральная, д. 3б ",61.306066,55.149218
237,"г. Челябинск, ул. Автодорожная,  д. 5 б ",61.368337,55.205332
238,"г. Челябинск, Ленинский район, ул. Нахимова ",61.474006,55.12203
239,"г. Златоуст, юго-восточнее гаражного потребительского кооператива «Машиностроитель»",1,1
240,"г. Копейск, пос. Советов ",61.587831,55.121762
241,"г. Челябинск, ул. Братская, д. 3а",61.370457,55.12987
242,"с. Чесма, ул. Окружная, д. 23а",60.636695,53.801176
243,"г. Магнитогорск, ул. Электросети,  д. 45 ",59.079438,53.430255
244,"г. Коркино, р.п. Первомайский, ул. Заводская, д. 3 ",61.188808,54.871834
245,"Красноармейский район,  пос. Петровский,  ул. Северная, д. 4а ",61.618275,55.23195
246,"Сосновский район, ориентир пос. Красное поле. Участок находится примерно в 2,2 км. от ориентира по направлению на восток.",1,1
247,"1) г. Магнитогорск, проезд Кирпичный, д. 6. 2) с 21.04.2017г. дополнительный объект: г. Магнитогорск, ул. Шоссейная, д. 48/1",59.088655,53.395454
248,"1) г. Челябинск, ул. Героев Танкограда, д. 57п;  с 19.11.2019 новый объект: 2) г. Копейск, ул. Кемеровская, 18",61.640877,55.121546
249,"г. Магнитогорск, ул. Калибровщиков, д. 27",59.093829,53.467064
250,"г. Челябинск, ул. Енисейская, д. 53д ",61.494137,55.134908
252,"г. Миасс, Тургоякское шоссе, д. 4/9 ",60.146592,55.1151
253,"г. Куса, ул. 3 Интернационала,  д. 1, участок 7/13",59.451341,55.334004
254,"Сосновский район, в районе пос. Федоровка",40.965863,53.433431
255,"Сосновский р-н, пос. Солнечный",61.53457,55.324929
256,"г. Аша, ул. Узкоколейная,  д. 1а",57.232089,55.004587
257,"г. Челябинск, Металлургический р-н, территория Челябинского электродного завода",61.418714,55.259243
258,"Чебаркульский р-н, 125 м. на запад от западной границы с. Кундравы, участок № 1.",1,1
259,"г. Челябинск, ул. Героев Танкограда, д. 52п",61.439986,55.212637
261,"г. Копейск, установлено относительно ориентира промплощадка ш. «Центральная», расположенного в границах участка, адрес ориентира: Челябинская область, г. Копейск",1,1
262,"г. Челябинск, ул. Автодорожная,  д. 10 ",61.363764,55.208209
263,"Сосновский р-н,  в районе  пос. Федоровка ",40.965863,53.433431
265,"г. Челябинск, ул. Героев Танкограда, д. 17",61.440786,55.19021
266,"г. Магнитогорск, Челябинский тракт, д. 9",59.107026,53.379353
267,"г. Челябинск, Свердловский тракт, д. 38",61.382081,55.199439
268,"г. Миасс, ул. 60 лет Октября, участок № 21",60.105889,55.020564
269,"г. Златоуст, участок находится примерно на выезде в сторону г. Куса, по направлению между ул. Кусинское шоссе и ж/д магистралью «Уфа-Челябинск» от ориентира, расположенного за пределами участка, адрес ориентира: Челябинская область, г. Златоуст",1,1
270,"г. Челябинск, ул. Нахимова, д. 20п",61.489124,55.121283
271,"г. Златоуст, ул.  Суворова,  д. 57 б",59.694766,55.093777
272,"Агаповский р-н, пос. Желтинский,  ул. Степная, участок № 1",59.228792,53.561118
273,"г. Магнитогорск, пр-д Кирпичный,  д. 6",59.052228,53.44485
274,"г. Магнитогорск, ул. Шоссейная,  д. 42/1",59.088682,53.393693
275,"г. Еманжелинск, ул. Победы, д. 1г",61.333653,54.751663
276,"1) г. Челябинск, ул. Короленко, д. 79 2) г. Касли, в районе железной дорого г. Касли (БАМ), в 770 м. северо-западнее от административного здания по  ул. Лобашова, № 160",1,1
